File Name,CC Value
./vignoles_output\Cluster-Closure-7-31-23\CR1\IMG_9969 4.png,86.3564286632863
./vignoles_output\Cluster-Closure-7-31-23\CR1\IMG_9970 2.png,86.3340219382506
./vignoles_output\Cluster-Closure-7-31-23\CR1\IMG_9971 4.png,84.65627329249601
./vignoles_output\Cluster-Closure-7-31-23\CR1\IMG_9973 4.png,91.20976467361636
./vignoles_output\Cluster-Closure-7-31-23\CR1\IMG_9977 4.png,96.01758189772823
./vignoles_output\Cluster-Closure-7-31-23\CR1\IMG_9975 2.png,95.22884385235577
./vignoles_output\Cluster-Closure-7-31-23\CR1\IMG_9978 4.png,91.16618146101032
./vignoles_output\Cluster-Closure-7-31-23\CR1\IMG_9979 2.png,86.25337577160494
./vignoles_output\Cluster-Closure-7-31-23\CR1\IMG_9980 2.png,94.83306825816746
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9914 2.png,86.65470383755354
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9914 4.png,86.65470383755354
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9915 2.png,91.46815554925674
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9915 4.png,91.46815554925674
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9916 2.png,80.76178436266483
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9916 4.png,80.76178436266483
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9917 2.png,95.03244874338624
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9917 4.png,95.03244874338624
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9918 2.png,89.28118701184178
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9918 4.png,89.28118701184178
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9919 2.png,90.05895133902327
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9919 4.png,90.05895133902327
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9920 2.png,92.15726076310153
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9921 2.png,93.20466033635675
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9921 4.png,93.20466033635675
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9920 4.png,92.15726076310153
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9922 2.png,91.89577789063156
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9922 4.png,91.89577789063156
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9923 4.png,86.28728931773327
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9923 2.png,86.28728931773327
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9924 2.png,93.68708565602167
